title,abstract,year,date,keywords,author,isbn,volume,pages,pid,type,periodical,related url,notes
,,,,gene control,,,,,,,,,
,,,,gene expression,,,,,,,,,
,,,,histology,,,,,,,,,
,,,,hybrid cell,,,,,,,,,
,,,,in vitro study,,,,,,,,,
,,,,methodology,,,,,,,,,
,,,,somatic cell,,,,,,,,,
,,,,theoretical study,,,,,,,,,
,,,,biosynthesis,,,,,,,,,
,,,,brain,,,,,,,,,
,,,,cell differentiation,,,,,,,,,
,,,,cell fusion,,,,,,,,,
,,,,cell nucleus,,,,,,,,,
,,,,chromosome,,,,,,,,,
,,,,enzymology,,,,,,,,,
,,,,gene,,,,,,,,,
,,,,karyotyping,,,,,,,,,
,,,,kidney,,,,,,,,,
,,,,liver,,,,,,,,,
,,,,metabolism,,,,,,,,,
,,,,mutation,,,,,,,,,
,,,,Parainfluenza virus 1,,,,,,,,,
,,,,physiology,,,,,,,,,
,,,,radiation exposure,,,,,,,,,
,,,,review,,,,,,,,,
,,,,ribosome,,,,,,,,,
,,,,RNA translation,,,,,,,,,
,,,,transplantation,,,,,,,,,
,,,,esterase,,,,,,,,,
,,,,growth hormone,,,,,,,,,
,,,,hemoglobin,,,,,,,,,
,,,,immunoglobulin,,,,,,,,,
,,,,lipid,,,,,,,,,
,,,,macrogol derivative,,,,,,,,,
,,,,myosin,,,,,,,,,
,,,,phospholipid,,,,,,,,,
,,,,pigment,,,,,,,,,
,,,,ribosome RNA,,,,,,,,,
,,,,Chromosomes,,,,,,,,,
,,,,Esterases,,,,,,,,,
,,,,Genes,,,,,,,,,
,,,,Hemoglobins,,,,,,,,,
,,,,Hybrid Cells,,,,,,,,,
,,,,Immunoglobulins,,,,,,,,,
,,,,Lipids,,,,,,,,,
,,,,Myosins,,,,,,,,,
,,,,"Parainfluenza Virus 1, Human",,,,,,,,,
,,,,Phospholipids,,,,,,,,,
,,,,Pigments,,,,,,,,,
,,,,Polyethylene Glycols,,,,,,,,,
,,,,Ribosomes,,,,,,,,,
,,,,"RNA, Ribosomal",,,,,,,,,
,,,,"Translation, Genetic",,,,,,,,,
Activation of Albumin Synthesis in Human Leukocytes by Somatic-Cell Fusion,,1974,1974-01-01T00:00:00Z,Science & Technology - Other Topics,"Bernhard, H. P.",0014-4754,30,700-700,,Journal Article,Experientia,<Go to ISI>://WOS:A1974T349300168,"ISI Document Delivery No.: T3493 Times Cited: 0 Cited Reference Count: 0 Bernhard, hp darlington, gj ruddle, fh 0 Birkhauser verlag ag Basel"
,,,,,"Darlington, G. J.",,,,,,,,
,,,,,"Ruddle, F. H.",,,,,,,,
Drosophila Cells - Colony Formation and Cloning in Agarose Medium,,1975,1975-01-01T00:00:00Z,Science & Technology - Other Topics,"Bernhard, H. P.",0014-4754,31,734-734,,Journal Article,Experientia,<Go to ISI>://WOS:A1975AF71200182,"ISI Document Delivery No.: AF712 Times Cited: 7 Cited Reference Count: 0 Bernhard, hp gehring, wj 7 0 Birkhauser verlag ag Basel"
,,,,,"Gehring, W. J.",,,,,,,,
Folate deaminase and cyclic AMP phosphodiesterase in Dictyostelium discoideum: Their regulation by extracellular cyclic AMP and folic acid,"Cyclic AMP and folic acid act as chemotactic factors in Dictyostelium discoideum. Both agents, when applied extracellularly, also control cell development from the growth stage to the acquisition of aggregation competence. Cyclic AMP phosphodiesterase and folate deaminase are extracellular enzymes whose activity is regulated during early differentiation of D. discoideum cells. The two enzymes help control the extracellular levels of cyclic AMP and folic acid. The substrates cyclic AMP and folic acid each increase the extracellular activity of folate deaminase as well as phosphodiesterase. The specificity of extracellular phosphodiesterase regulation by cyclic AMP indicates that the effect is mediated by specific cyclic AMP receptors rather than the catalytic site of cell surface phosphodiesterase. To some extent cyclic AMP and folic acid are interchangeable with respect to regulating differentiation and enhancing enzymatic inactivation of intercellular signals. Thus the two extracellular signals may share a common cellular pathway of signal transduction. The regulation of folate deaminase and phosphodiesterase by folic acid does not always parallel the folic acid effects on development. Pulses of folic acid stimulate development of aggregation competence, whereas a continuous flux inhibits. In contrast, either continuous flux or pulses of folic acid increase the deaminase and phosphodiesterase activities. © 1981.",1981,1981-01-01T00:00:00Z,cyclic AMP,"Bernstein, R. L.",00456039 (ISSN),10,79-86,10.1016/0045-6039(81)90015-4,Journal Article,Cell Differentiation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019444113&doi=10.1016%2f0045-6039%2881%2990015-4&partnerID=40&md5=5d0cb4e0634d86903b957fa0f5d12dc0,"Cited By :28 Export Date: 25 January 2021 CODEN: CLDFA Correspondence Address: Gerisch, G.; Max-Planck-Institut für Biochemie, 8033 Martinsried bei München, Germany Chemicals/CAS: cyclic AMP, 60-92-4; cyclic AMP phosphodiesterase, 9036-21-9; folate deaminase, 54992-30-2; folic acid, 59-30-3, 6484-89-5; 3',5'-Cyclic-Nucleotide Phosphodiesterase, 3.1.4.17; Aminohydrolases, 3.5.4.-; Cyclic AMP, 60-92-4; Folic Acid, 59-30-3; Protozoan Proteins; folic acid deaminase, Dictyostelium discoideum, 3.5.4.- Manufacturers: boehringer, Germany; merck, Germany; serva, Germany Funding text 1: Our work was supported by the Schweize-rischer Nationalfonds and the Deutsche For-schungsgemeinschaft. During the work R.L.B. was a guest professor supported by the Max-Planck-Society on leave from San Francisco State University. We thank Miss K. Griin for assistance with phosphodiesterase assays. References: Bernstein, van Driel, (1980) FEBS Lett., 119, p. 249; Beug, Katz, Gerisch, (1973) J. Cell Biol., 56, p. 647; Chang, (1968) Science, 160, p. 57; Darmon, Brachet, Pereira da Silva, (1975) Proc. Natl. Acad. Sci. U.S.A., 72, p. 3163; Devreotes, Steck, (1979) J. Cell Biol., 80, p. 300; Eckstein, Simonson, Bär, (1974) Biochemistry, 13, p. 3806; Gerisch, Malchow, Riedel, Müller, Every, (1972) Nature New Biol., 235, p. 90; Gerisch, Hess, (1974) Proc. Natl. Acad. Sci. U.S.A., 71, p. 2118; Gerisch, Fromm, Huesgen, Wick, (1975) Nature, 255, p. 547; Gerisch, Malchow, Roos, Wick, Wurster, (1977) Cell Interactions in Differentiation, , M. Karkinen-Jääskeläinen, L. Saxén, L. Weiss, Academic Press; Gerisch, (1979) Mechanisms of Cell Change, , J.D. Ebert, T. Okada, John Wiley and Sons, Inc, New York; Klein, (1975) J. Biol. Chem., 250, p. 7134; Konijin, van den Meene, Bonner, Barkley, The acrasin activity of adenosine-3',5'-cyclic phosphate. (1967) Proceedings of the National Academy of Sciences, 58, p. 1152; Malchow, Fuchila, Jastorff, (1973) FEBS Lett., 34, p. 5; Malchow, Gerisch, (1974) Proc. Natl. Acad. Sci. U.S.A., 71, p. 2423; Mato, Konijn, (1977) Proceedings of the EMBO Workshop on Development and Differentiation in Cellular Slime Moulds, , P. Cappuccinelli, J.M. Ashworth, Elsevier/North-Holland Biomedical Press, Amsterdam; Mato, Krens, van Haastert, Konijn, (1977) Proc. Natl. Acad. Sci. U.S.A., 74, p. 2348; Mato, Malchow, (1978) FEBS Lett., 90, p. 119; Müller, Gerisch, (1978) Nature, 274, p. 445; Pan, Hall, Bonner, (1972) Nature New Biol., 237, p. 181; Pan, Hall, Bonner, (1975) J. Bacteriol., 122, p. 185; Riedel, Gerisch, Müller, Beug, (1973) J. Mol. Biol., 74, p. 573; Rossier, Eitle, van Driel, Gerisch, (1980) The Eukaryotic Microbial Cell, , G.W. Gooday, D. Lloyd, A.P.J. Trinci, Cambridge University Press, Cambridge; Rossier, Gerisch, Malchow, Eckstein, (1978) J. Cell Sci., 35, p. 321; Tsang, Coukell, (1977) Cell Differ., 6, p. 75; Van Driel, R.: in press (1981); Watts, Ashworth, (1970) Biochem. J., 119, p. 171; Wurster, Schubiger, (1977) J. Cell Sci., 27, p. 105; Wurster, Schubiger, Wick, Gerisch, (1977) FEBS Lett., 76, p. 141; Wurster, Bozzaro, Gerisch, (1978) Cell Biol. Int. Rep., 2, p. 61; Yeh, Chan, Coukell, (1978) Dev. Biol., 66, p. 361"
,,,,Dictyostelium,"Rossier, C.",,,,,,,,
,,,,folate deaminase,"Van Driel, R.",,,,,,,,
,,,,phosphodiesterase,"Brunner, M.",,,,,,,,
,,,,slime mold,"Gerisch, G.",,,,,,,,
,,,,cyclic AMP phosphodiesterase,,,,,,,,,
,,,,folic acid,,,,,,,,,
,,,,unclassified drug,,,,,,,,,
,,,,animal experiment,,,,,,,,,
,,,,article,,,,,,,,,
,,,,cell differentiation,,,,,,,,,
,,,,chemotaxis,,,,,,,,,
,,,,Dictyostelium discoideum,,,,,,,,,
,,,,drug comparison,,,,,,,,,
,,,,in vitro study,,,,,,,,,
,,,,protozoon,,,,,,,,,
,,,,"3',5'-Cyclic-Nucleotide Phosphodiesterase",,,,,,,,,
,,,,Aminohydrolases,,,,,,,,,
,,,,Cell Aggregation,,,,,,,,,
,,,,"Dose-Response Relationship, Drug",,,,,,,,,
,,,,Extracellular Space,,,,,,,,,
,,,,Protozoan Proteins,,,,,,,,,
,,,,Animalia,,,,,,,,,
,,,,Protozoa,,,,,,,,,
The DNA sequence recognised by BglI,The restriction enzyme BglI recognizes the DNA sequence: 5′-GCCNNNN↓NGGC-3′3′-CGGN↑NNNNCCG-5′ and cleaves it in the position shown by the arrows to leave 3′ single-stranded protrusions three bases long. © 1980.,1980,1980-01-01T00:00:00Z,3′-cohensive termini,"Bickle, T. A.",03781119 (ISSN),9,205-212,10.1016/0378-1119(90)90323-j,Journal Article,Gene,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018893559&doi=10.1016%2f0378-1119%2890%2990323-J&partnerID=40&md5=4eb580cfec86c6fa55ce74dddab656ce,"Cited By :21 Export Date: 25 January 2021 CODEN: GENED Correspondence Address: Bickle, T.A.; Abteilung Mikrobiologie, Klingelbergstrasse 70, CH-4056 Basel, Switzerland Chemicals/CAS: DNA, 9007-49-2; endonuclease, 9055-11-2; DNA Restriction Enzymes, EC 3.1.21; DNA, Bacterial; Plasmids Funding text 1: We would like to thank Dr. J.G. Sutcliffe for providing us with the sequence of pBR322 and Drs. D. Ghosal, H. Sommer and H. Saedler for the sequence of IS2 prior to publication. We thank Dr. J. Shepherd for searching for sequences with the computer. This work was supported in part by grants from the Swiss National Foundation for Scientific Research. References: Bickle, Pirrotta, Imber, A simple, general procedure for purifying restriction endonucleases (1977) Nucl. Acids Res., 4, pp. 2561-2572; Bolivar, Rodriguez, Greene, Betlach, Heyneker, Boyer, Construction and characterization of new cloning vehicles, II. A multiple cloning system (1977) Gene, 2, pp. 95-113; Boyer, DNA restriction and modification mechanisms in bacteria (1971) Annu. Rev. Microbiol., 25, pp. 153-176; Clewell, Nature of ColE1 plasmid replication in Escherichia coli in the presence of chloramphenicol (1972) J. Bacteriol., 110, pp. 667-676; Fiers, Contreras, Haegeman, Rogiers, Van den Voord, Van Heuverswijn, Van Heereweghe, Ysebaer, Complete nucleotide sequence of SV40 DNA (1978) Nature (London), 273, pp. 113-120; Ghosal, Sommer, Saedler, Nucleotide sequence of the transposable DNA element IS2 (1979) Nucl. Acids Res., 6, pp. 1111-1122; Jay, Bambara, Padmanabhan, Wu, DNA sequence analysis: a general, simple and rapid method for sequencing large oligodeoxyribonucleotide fragments by mapping (1974) Nucl. Acids Res., 1, pp. 331-353; Maxam, Gilbert, A new method for sequencing DNA (1977) Proc. Natl. Acad. Sci. USA, 74, pp. 560-564; Pirrotta, Two restriction endonucleases from Bacillus globigii (1976) Nucl. Acids Res., 3, pp. 1747-1759; Reddy, Thimmappaya, Dhar, Subramanian, Zain, Pan, Celma, Weissman, The genome of simian virus 40 (1978) Science, 200, pp. 494-502; Roberts, Restriction and modification enzymes and their recognition sequences (1978) Gene, 4, pp. 183-193; Sanger, Coulson, The use of thin acrylamide gels for DNA sequencing (1978) FEBS Lett., 87, pp. 107-110; Sutcliffe, pBR322 restriction map derived from the DNA sequence: accurate DNA size markers up to 4361 nucleotide pairs long (1978) Nucleic Acids Res., 5, pp. 2721-2728; Sutcliffe, Complete nucleotide sequence of the Escherichia coli plasmid pBR322 (1979) Cold Spring Harbor Symp. Quant. Biol., 43, pp. 77-90; Van Heuverswijn, Fiers, Recognition sequence of the restriction endonuclease BglI from Bacillus globigii (1980) Gene, 9, pp. 195-203; Wilson, Young, Restriction and modification in the Bacillus genospecies (1976) Microbiology—1976, pp. 350-357. , D. Schlessinger, American Society For Microbiology, Washington, D.C"
,,,,5′-GCCN4↓NGGC-3′,"Ineichen, K.",,,,,,,,
,,,,Restriction endonucleases,,,,,,,,,
,,,,dna,,,,,,,,,
,,,,endonuclease,,,,,,,,,
,,,,animal experiment,,,,,,,,,
,,,,bacillus globigii,,,,,,,,,
,,,,heredity,,,,,,,,,
,,,,in vitro study,,,,,,,,,
,,,,Bacillus,,,,,,,,,
,,,,Base Sequence,,,,,,,,,
,,,,DNA Restriction Enzymes,,,,,,,,,
,,,,"DNA, Bacterial",,,,,,,,,
,,,,"Electrophoresis, Polyacrylamide Gel",,,,,,,,,
,,,,Escherichia coli,,,,,,,,,
,,,,Plasmids,,,,,,,,,
,,,,Substrate Specificity,,,,,,,,,
"A simple, general procedure for purifying restriction endonucleases","A simple, general method for purifying restriction endonucleases is described. The method employs precipitation of nucleic acids from crude extracts with polyethyleneimine followed by affinity chromatography on columns of heparin covalently linked to agarose. Most of the sixteen enzymes tested could be purified to a degree sufficient for DNA sequencing work by this method sometimes supplemented by at most one step of ion exchange chromatography. © 1977 Information Retrieval Limited.",1977,1977-01-01T00:00:00Z,dna,"Bickle, T. A.",03051048 (ISSN),4,2561-2572,10.1093/nar/4.8.2561,Journal Article,Nucleic Acids Research,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017643983&doi=10.1093%2fnar%2f4.8.2561&partnerID=40&md5=865e7603555b6d35cc4af5f79b1c4c97,"Cited By :139 Export Date: 25 January 2021 CODEN: NARHA Correspondence Address: Bickle, T.A.; Dept. of Microbiology, Klingelbergstrasse 70, 4056 Basel, Switzerland Chemicals/CAS: DNA, 9007-49-2; endonuclease, 9055-11-2; DNA Restriction Enzymes, EC 3.1.21; DNA, 9007-49-2; Heparin, 9005-49-6 Funding text 1: ACKNOWLEDGMENTS We would like to thank R.3. Roberts for bacterial strains and unpublished information and S. Clarkson for T^. aquaticus cells and information concerning the Sst purification. This work was partly supported by grants from the Swiss National Foundation for Scientific Research. References: Zillig, W., Zechel, K., Halbwachs, H., (1970) Hoppe-Seyler's Z. Physiol. Chem, 3 (51), pp. 221-224; Burgess, R.R., Bendrisak, B.B., (1975) Biochemistry, 14, pp. 4634-4638; Sternbach, H., Engelhardt, R., Lezius, A.G., (1975) Eur. 3. Biochem, 60, pp. 51-55; Bingham, A.H.A., Sharman, A.F., Atkinson, T., (1977) FEBS Letters, 76, pp. 250-256; Sümegi, B., Breedveld, D., Hossenlopp, P., Chambon, P., (1977) Biochem. Biophys. Res, Comm., 76, pp. 78-85; Laemmli, U.K., (1970) Nature, 227, pp. 680-685; Peacock, A.C., Dingman, C.W., (1968) Biochemistry, 7, pp. 668-674; Sugden, B., Detroy, B., Roberts, R.B., Sambrook, O., (1975) Analyt. Biochem. 6Jb, pp. 36-46; Sato, S., Hutchinson, C.A., Harris, B.L., (1977) Proc. Nat. Acad. Sei. U. S. A., 74, pp. 542-546; Zillig, W., Zechel, K., Rabussay, D., Schachner, M., Sethi, V.S., Palm, P., Heil, A., Seifert, W., (1970) Cold Spring Harbor Symp. Quant. Biol, 35, pp. 47-58; Yuan, R., Bickle, T.A., Ebfërs, W., Brack, C., (1975) Nature, 256, pp. 556-560; Roberts, R.B., (1976) CRC Crit. Rev. Biochem, pp. 123-164"
,,,,endonuclease,"Pirrotta, V.",,,,,,,,
,,,,restriction endonuclease,"Imber, R.",,,,,,,,
,,,,bacterium,,,,,,,,,
,,,,enzyme purification,,,,,,,,,
,,,,in vitro study,,,,,,,,,
,,,,methodology,,,,,,,,,
,,,,microorganism,,,,,,,,,
,,,,theoretical study,,,,,,,,,
,,,,Bacillus,,,,,,,,,
,,,,Base Sequence,,,,,,,,,
,,,,"Chromatography, Affinity",,,,,,,,,
,,,,"Chromatography, Ion Exchange",,,,,,,,,
,,,,DNA Restriction Enzymes,,,,,,,,,
,,,,Heparin,,,,,,,,,
,,,,Species Specificity,,,,,,,,,
,,,,Thermus,,,,,,,,,
Particle Containing Uncleaved Major Head Protein (P23) Which Is Maturable into Head of Phage-T4,,1974,1974-01-01T00:00:00Z,Science & Technology - Other Topics,"Bijlenga, R. K.",0028-0836,249,825-827,10.1038/249825a0,Journal Article,Nature,<Go to ISI>://WOS:A1974T343700035,"ISI Document Delivery No.: T3437 Times Cited: 10 Cited Reference Count: 17 Cited References: AEBI U, IN PRESS BIJELENGA RKL, IN PRESS BIJLENGA RK, 1973, VIROLOGY, V56, P250, DOI 10.1016/0042-6822(73)90304-8 DICKSON RC, 1970, J MOL BIOL, V53, P461, DOI 10.1016/0022-2836(70)90077-X DOERMANN AH, 1973, J VIROL, V12, P374, DOI 10.1128/JVI.12.2.374-385.1973 FAVRE R, 1965, J ULTRA MOL STRUCT R, V13, P318, DOI 10.1016/S0022-5320(65)80080-6 GRANBOUL.P, 1971, VIROLOGY, V46, P407, DOI 10.1016/0042-6822(71)90042-0 HOSODA J, 1970, P NATL ACAD SCI USA, V66, P1275, DOI 10.1073/pnas.66.4.1275 KELLENBERGER E, 1970, FEBS LETT, V8, P140, DOI 10.1016/0014-5793(70)80247-2 KELLENBERGER E, 1968, J ULTRASTRUCT RES, V21, P335 KELLENBERGER E, 1972, 7 CIBA F S POL BIOL, P189 LAEMMLI UK, 1973, J MOL BIOL, V80, P601, DOI 10.1016/0022-2836(73)90199-X LAEMMLI UK, 1970, NATURE, V227, P680, DOI 10.1038/227680a0 LAEMMLI UK, 1973, J MOL BIOL, V80, P575, DOI 10.1016/0022-2836(73)90198-8 LUFTIG RB, 1973, P NATL ACAD SCI USA, V70, P1636, DOI 10.1073/pnas.70.6.1636 SHAPIRO AL, 1967, BIOCHEM BIOPH RES CO, V28, P815, DOI 10.1016/0006-291X(67)90391-9 SIMON LD, 1972, P NATL ACAD SCI USA, V69, P907, DOI 10.1073/pnas.69.4.907 Bijlenga, rk broek, rvd kellenberger, e 10 0 Nature publishing group London 1476-4687"
,,,,,"Broek, R. V. D.",,,,,,,,
,,,,,"Kellenberger, E.",,,,,,,,
"Studies on Morphopoiesis of Head of T-Even Phage .9. Tau-Particles - Their Morphology, Kinetics of Appearance and Possible Precursor Function",,1973,1973-01-01T00:00:00Z,Virology,"Bijlenga, R. K.",0042-6822,56,250-267,10.1016/0042-6822(73)90304-8,Journal Article,Virology,<Go to ISI>://WOS:A1973R181000023,"ISI Document Delivery No.: R1810 Times Cited: 44 Cited Reference Count: 33 Cited References: BIJLENGA R, 1973, EXPERIENTIA, V29, P768 BIJLENGA R, TO BE PUBLISHED DICKSON RC, 1970, J MOL BIOL, V53, P461, DOI 10.1016/0022-2836(70)90077-X EPSTEIN RH, 1963, COLD SPRING HARB SYM, V28, P375, DOI 10.1101/SQB.1963.028.01.053 FAIRBANK.G, 1965, BIOCHEM BIOPH RES CO, V20, P393, DOI 10.1016/0006-291X(65)90589-9 FAVRE R, 1965, J ULTRA MOL STRUCT R, V13, P318, DOI 10.1016/S0022-5320(65)80080-6 GRANBOUL.P, 1971, VIROLOGY, V46, P407, DOI 10.1016/0042-6822(71)90042-0 HOSODA J, 1970, P NATL ACAD SCI USA, V66, P1275, DOI 10.1073/pnas.66.4.1275 KELLENBERGER E, 1958, J BIOPHYS BIOCHEM CY, V4, P671, DOI 10.1083/jcb.4.6.671 KELLENBERGER E, 1968, VIROLOGY, V34, P549, DOI 10.1016/0042-6822(68)90074-3 KELLENBERGER E, 1967, J ULTRA MOL STRUCT R, V21, P335, DOI 10.1016/S0022-5320(67)80099-6 KELLENBERGER E, 1970, FEBS LETT, V8, P140, DOI 10.1016/0014-5793(70)80247-2 KELLENBERGER E, 1969, SYMMETRY FUNCTION BI KELLENBERGER E, 1973, GENERATION SUBCELLUL, P59 KELLENBERGER E, 1966, 1965 CIB F S PRINC B, P192 KELLENBERGER E, 1964, BACTERIOLOGY KELLENBERGER E, 1972, 7 CIBA F S POL BIOL, P189 KELLENBERGER EDWARD, 1961, ADVANCES IN VIRUS RES, V8, P1 LAEMMLI UK, 1970, J MOL BIOL, V49, P99, DOI 10.1016/0022-2836(70)90379-7 LAEMMLI UK, 1970, NATURE, V227, P680, DOI 10.1038/227680a0 LAEMMLI UK, 1968, MOL GEN GENET, V101, P333, DOI 10.1007/BF00436231 LAEMMLI UK, 1969, THESIS U GENEVA LUFTIG RB, 1971, J MOL BIOL, V57, P555, DOI 10.1016/0022-2836(71)90109-4 LUFTIG RB, 1972, J VIROL, V9, P377, DOI 10.1128/JVI.9.2.377-389.1972 NOLL H, 1969, TECHNIQUES PROTEIN B, V2 REID MS, 1968, ANAL BIOCHEM, V22, P374, DOI 10.1016/0003-2697(68)90278-9 SECHAUD J, 1959, J BIOPHYS BIOCHEM CY, V5, P469, DOI 10.1083/jcb.5.3.469 SECHAUD J, 1972, J ULTRA MOL STRUCT R, V39, P598, DOI 10.1016/S0022-5320(72)90124-4 SHAPIRO AL, 1967, BIOCHEM BIOPH RES CO, V28, P815, DOI 10.1016/0006-291X(67)90391-9 SHOWE MK, 1973, NATURE-NEW BIOL, V242, P70, DOI 10.1038/newbio242070a0 SIMON LD, 1972, P NATL ACAD SCI USA, V69, P907, DOI 10.1073/pnas.69.4.907 WEBER K, 1969, J BIOL CHEM, V244, P4406 YANAGIDA M, 1972, J MOL BIOL, V65, P501, DOI 10.1016/0022-2836(72)90204-5 Bijlenga, rk scraba, d kellenberger, e 44 0 1 Academic press inc elsevier science San diego"
,,,,,"Scraba, D.",,,,,,,,
,,,,,"Kellenberger, E.",,,,,,,,
